name,image_url,main_tag,description
Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy),https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/Urulai_Kizhangu_Masiyal_Recipe_Potatoes_in_a_Tangy_lemon_and_Ginger_Gravy-1.jpg,"tamilnadu sidedish vegan  aloo, raikadugu, split, haldi, dhania  ","Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy) is a very classic tamil brahmin dish that is eaten along with puri's or chapatti. As a child I would not eat any potatoes apart from my favorite urulai kizhangu roast (potato roast), but now that I am all grown up and eaten things as bland as a leaf, I just love this dish. I love this dish for it tangy lemon and ginger flavors that get so well absorbed by the potatoes. The dish is made healthy using less oil, spiced just right to get the best flavors from the potatoes and the curry. Serve the Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy) along with Phulkas for a wholesome weeknight dinner."
Mini Onion Vada With Vengaya Sambar Recipe - Pan Fried Fritters in Tangy Lentil Curry,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Preethi_Kitchen_Appliances_Mini_Vada_Sambar_Recipe_-1.jpg,"tamilnadu southindianbreakfast vegetarian  whole, soakedfor3hours, dhania, splittoordal, sambaronions, radish, gajjar, dhania, raikadugu, hing  ","The Onion Vada Sambar Recipe is a simple healthy and nutritious recipe of the urad dal vada that is pan fried in a paniyaram pan.  In this recipe, I have made the Vada’s healthy by using the Kuzhi Paniyaram pan as opposed to the traditional method of deep frying the vada's."
Delicious Dal Makhani Recipe Without Onion and Garlic (Jain),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Riya/Delicious_Dal_Makhani_Recipe_without_Onion_and_garlic_-1.jpg,"northindian lunch highproteinvegetarian  whole, largekidneybeans, jeera, salted, elaichi, driedfenugreekleaves  ","Dal Makhani or dal makhni is a popular dish originating from the Punjab region of the Indian Subcontinent. The primary ingredients in dal makhani are whole black lentil with red kidney beans, butter and cream. Traditionally the Dal Makhani is made using garlic and onion but during some specific occasion dal makhani is made without using onions and garlic. "
Vadyancho Ross Recipe (Ash Gourd Chips Curry),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/poojanadkarni/Vadyancho_Ross__Ash_gourd_Chips_Curry.jpg,"goan lunch vegetarian  dhania, haldi  ","As a Goan, this recipe is very close to my heart. Vadyo are sun dried chips prepared out of Ash Gourd. My aunt used to prepare them, store them and use in different curries and vegetables. They just enhance the flavors of your food. In today's ross or curry, I have used them. This curry is without any onions or garlic. It is very easy to make and goes really well with rice."
Carrots & Sweet Potato Stuffed Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Carrot__Sweet_Potato_Paratha_Recipe.jpg,"northindian indianbreakfast vegetarian  gajjar, jeera, roasted, adjust, dhania  ","Carrots and Sweet Potato Stuffed Parathas are a whole wheat Indian flat bread stuffed with finely grated carrots and boiled sweet potatoes are spiced up with green chillies, coriander leaves and cumin powder, makes this paratha healthy and delicious. This is a favorite lunch box for my children, they love to have it along with honey. And not to miss it is wholesome and nutritious too."
Carrots & Sweet Potato Stuffed Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Carrot__Sweet_Potato_Paratha_Recipe.jpg,"northindian indianbreakfast vegetarian  gajjar, jeera, roasted, adjust, dhania  ","Carrots and Sweet Potato Stuffed Parathas are a whole wheat Indian flat bread stuffed with finely grated carrots and boiled sweet potatoes are spiced up with green chillies, coriander leaves and cumin powder, makes this paratha healthy and delicious. This is a favorite lunch box for my children, they love to have it along with honey. And not to miss it is wholesome and nutritious too."
Mint Vegetables Moilee Recipe (Mixed Vegetables Cooked In Minty Coconut Milk),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Mint_Vegetables_Moilee_Mixed_Vegetables_Cooked_In_Minty_Coconut_Milk.jpg,"kerala lunch vegetarian  potatoes carrot beans peas, raikadugu, pudina  ","Moilee is a very traditional Kerala dish where the fish or vegetables are cooked in mildly spiced coconut milk. Mint Vegetables Moilee is a twisted recipe, using mint flavour to further enhance the dish making it even more refreshing."
No Onion No Garlic Aloo Makhana Sabzi Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Aloo_Makhana_Sabzi_no_onion_no_garlic.jpg,"indian lunch vegetarian  lotusseeds, jeera, saunf, haldi, dhania, kalanamakisusingforafast  ","Be it Navratri or Shravan maas, many practice fasting during these months, which means onion, garlic is a big no no for many. Fasting practices are different from region to region. I believe “There are no rules in fasting. Some fast on Mondays, some on Tuesdays and Fridays, while others fast only on certain religious days”."
Bhaat Na Rasawala Muthia Dhokla Recipe | Gujarati Rasiya Dhokla,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/bhaat_na_rasawala_muthia_recipe__Gujarati_rasiya_muthia_Dhokla_recipe__7_1600.jpg,"gujarati﻿ dinner vegetarian  besan, haldi, besan, dahiyogurt, haldi, tejpatta, dalchini, jeera, dalchini  ","If you love Kadhi Chawal, then you will absolutely love this one dish meal bowl which is a classic and traditional kathiyawadi dish called Bhaat Na Rasawala Muthia Dhokla made from rice dumplings simmered in a delicious kadhi."
Sindhi Style Wadi Aloo Ki Sabzi Recipe - Spicy Wadi And Potato Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/varshajchhabria-gmail.com/Sindhi_Style_WAdi_Aloo_ki_sabzi__1600.jpg,"sindhi lunch vegetarian  wadi, aloo, bainganeggplant, jeera, dhania  ","Sindhi Style Wadi Aloo Ki Sabzi is an authentic Sindhi dish which is made with sundried dal spiced dumplings called Wadis, that are cooked along with potatoes and brinjals in an onion tomato gravy. "
Kuvale Sasam Recipe - Konkani Ash Gourd Curry,https://www.archanaskitchen.com/images/kuvale_sasam_recipe_konkani_ashgourd_curry_recipe-5_1600.jpg,"konkan maincourse vegetarian  raikadugu, haldi, ashgourdwhitepumpkin, haldi, raikadugu  ","Kuvale Sasam Recipe is essentially a Konkani Style Ash Gourd Curry made with a curry of coconut, red chillies and mustard seeds that adds sharpness to the dish. "
Hyderabadi Bagara Baingan Recipe - Brinjal In Spicy Peanut Curry,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Bagara_Baingan_Video_Recipe_3_1600.jpg,"hyderabadi dinner vegetarian  bainganeggplant, raikadugu, tejpatta, dalchini, laung, jeera, dhania, haldi, tilseeds, moongphali, dhania  ","Hyderabadi Bagara Baingan is a delicious preparation that is made from roasted brinjal/eggplant/ baingan. The base curry of the Bagara Baingan recipe is made from tamarind, peanuts and sesame seeds. "
Andhra Style Vegetarian Biryani with Soya Chunks Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Vegetarian_Biryani_with_Soya_Chunks_Recipe_is_.jpg,"andhra lunch vegetarian  nuggets, haldi, tejpatta, elaichi, laung, dalchini, javitri, elaichi, laung, dalchini, saunf  ",Andhra Style Vegetarian Biryani with Soya Chunks Recipe is very different from the Hyderabadi Biryani. The rice is completely tossed with the spicy masala rather than layering the rice with Biryani masala. The chopped tomatoes and ground spice mix will adds in the extra flavor to the rice. Andhra recipes are quite spicy when compared to dishes from other states. The flavors also change from region to region.
Doddapatre Soppina Chitranna Recipe (Spiced Indian Thyme Rice),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sindhu_bharadwaj/doddapatre-soppina-chitranna-thyme-rice.JPG,"southindian lunch vegetarian  doddapatre, jeera, bengalgramdal, split, dhania, raikadugu, bengalgramdal, split, hing, moongphali  ","Doddapatre Soppina Chitranna (Indian Thyme Rice) Recipe is a one pot meal made with Thyme leaves as one of the main ingredients. Thyme leaves are called Doddapatre Soppu in Kannada. Its specialty lies in its health benefits and the ease of cooking. Doddapatre is a herb with medicinal properties well known for curing skin allergies, rashes and helpful in fighting dry cough."
Bhindi And Paneer Masala Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Bhindi_and_Paneer_Masala_Gravy_Recipe_.jpg,"northindian sidedish vegetarian  ladyfingerokra, homemadecottagecheese, tejpatta, haldi, dhania, laung, dalchini, elaichi, greekyogurt  ","Bhindi and Paneer Masala Recipe is a simple side dish which is made with sautéed bhindi and soft paneer in a tomato based gravy without any addition of cashew nuts, poppy seeds or cream. The flavors are simple and the whole spices are ground along with tomato so that it is more flavourful."
Goan Style Mushroom Vindaloo Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/sept-26/Goan_Style_Mushroom_Vindaloo_Recipe-1.jpg,"goan dinner vegetarian  haldi, dhania, jeera, elaichi, laung  ","Goan Style Mushroom Vindaloo Recipe is a variation of the classic Goan Pork Vindaloo recipe. This traditional dish was introduced by the Portuguese in Goa. In this recipe, the mushroom is cooked in a vinegar based curry infused with Indian spices."
Coorg Style Kaad Manga Curry Recipe -Sweet & Spicy Mango Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/__Coorg__Kaad_Manga_Curry_tiny_mangoes__sweet_and_spicy.jpg,"coorg sidedish vegetarian  ripe, adjusttotaste, raikadugu, hing, agenerouspinch  ","Coorg Style Kaad Manga Curry Recipe which is a Sweet & Spicy curry made with tiny wild mangoes available locally in and around Coorg & Madikeri. Though it is a very very simple dish with just a few ingredients, the mango curry tastes absolutely delicious and has both the flavours of sweetness and tanginess flared with just a bit of spice."
Phalguni Dal Recipe - Bengali Style Red Lentils With Fresh Green Peas,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Preeti_Tamilarasan/Phalguni_Dal_Recipe_original_1600.jpg,"bengali lunch highproteinvegetarian  whole, matar, haldi, raikadugu, fenugreekseeds, jeera, saunf, onionnigellaseeds, hing  ","Phalguni Dal Recipe is a must try recipe when green peas are in season during winters. Phalguni Dal Recipe is a rich and creamy Bengali style dal prepared with the combination of masoor dal and green peas. This is a vegan, gluten free and protein rich accompaniment to your meals."
Mangalorean Chana Gassi Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/KarthikaKrishnan/Mangalorean_Channa_gassi.jpg,"mangalorean sidedish highproteinvegetarian  whitechickpeas, dhania, haldi, raikadugu, fenugreekseeds, hing  ","Mangalorean Chana Gassi Recipe is an authentic dish of Mangalorean cuisine, which is prepared with ground spices and coconut. Kori gassi is the most popular curry which is prepared with Chicken and served with roti. One can prepare gassi with chickpeas, kala chana, soya chunks or even with mushrooms with the same spice paste. This gassi is luscious and drool worthy. Gassi served with any Indian salad and roti/parotta is a perfect lunch. Serve Mangalorean Chana Gassi Recipe with Malabari Parotta Without Egg Recipe (Kerala Parotta) or Magalorean Neer Dosa Recipe (Savory Rice & Coconut Crepe) for lunch."
Achari Amla Mirchi Ki Sabzi Recipe - Gooseberry & Green Chilli Sabzi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Amla_Mirchi_Ka_Achari_Subzi_Recipe_Gooseberry__Green_Chilli_Subzi.jpg,"northindian sidedish vegetarian  nellikaigooseberry, haldi, saunf, fenugreekseeds, raikadugu, hing  ","Achari Amla Mirchi Ki Sabzi Recipe also called as Gooseberry & Green Chilli Sabzi, a dry curry that has the right amount of sourness and spiciness in the dish. Amla is a powerhouse of Vitamin C and is great for hair and skin. It is also rich in antioxidants and fiber, thus it is also diabetic friendly dish. Therefore adding amla into your everyday diet will help you in a lot of ways."
Kongunadu Style Vetrilai Sadam Recipe - Betel Leaves Rice,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Vethalai_Sadam_1600.jpg,"kongunadu lunch vegetarian  paan, raikadugu, bengalgramdal, split, moongphali, jeera, saunf, tilseeds  ","Vetrilai Sadam or Betel Leaves Sadam is a traditional Kongunadu special variety of rice. It is healthy, flavorful, and tasty that gets a peppery flavor from the betel nut leaves. Preparing this rice requires grounded masala that adds flavor to it. Betel leaves have many health benefits, it is rich in calcium and aids in digestion. This rice has unique flavors of betel leaves and garlic."
Goan Style Mushroom Shagoti Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Mushroom_Shagoti_Recipe__1600.jpg,"goan maincourse vegetarian  laung, caromseeds, saunf, jeera, dhania, dalchini  ","A medley of freshly roasted whole spices combined with coconut, this Mushroom Shagoti is an authentic Goan curry that is bursting with flavours. With a hint of sourness from the tamarind and richness from the poppy seeds and mushroom as a star ingredient, this Indian recipe is something different from the usual and worth a try. "
Vegetable Rava Upma Recipe  - Sooji Upma Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Vegetable_Rava_Upma_Sooji_Upma_Recipe_Video_6_1600.jpg,"southindian southindianbreakfast vegetarian  semolinarava, gajjar, frenchbeans, raikadugu, split, hing  ",Vegetable Rava Upma is a traditional south Indian breakfast dish that is made from semolina and cooked along with vegetables and seasonings. This dish is popularly called as Khara Bath in Karnataka. At home we love to serve it along with a hot cup of freshly brewed filter coffee to make a complete breakfast with some fresh fruits on the side.
Peanut Curry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Peanut_Curry.jpg,"indian lunch highproteinvegetarian  moongphali, laung, malabartamarind, jeera  ","Peanut Curry or Shengdanachi Amti is a Maharashtrian curry made especially during fasting days. This curry is usually served with varicha bhaat which is made using samo seeds. This Varicha bhaat and shengdanyachi amti is usually made during the holy month of Shravan when most people fast. Peanuts are high in protein and fibre and helps to improve satiety and aids in weight loss. They are rich in vitamin B6 and vitamin E and lots of minerals like magnesium, zinc, iron, magnesium, etc. Peanuts also help in anti-aging."
Raw Papaya Red Bell Peppers Stuffed Paratha,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Raw_Papaya_and_Red_Bell_Peppers_Stuffed_Paratha.jpg,"northindian lunch vegetarian  capsicum, drymangopowder, pudina  ","Raw Papaya and Red Bell Peppers Stuffed Paratha is a nice way to add in raw papaya to your meal. Raw papaya are rich in nutrients and minerals like potassium, magnesium and vitamins like A, B, C and E. So it helps in boosting the immune system and helps in treating constipation problems."
Rajma and Horse Gram Stuffed Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Rajma_and_Horse_gram_Stuffed_Paratha_Recipe.jpg,"punjabi northindianbreakfast diabeticfriendly  largekidneybeans, kollukulith, jeera, dhania, drymangopowder  ","Rajma and Horse gram Stuffed Paratha Recipe is a diabetic friendly dish for all those who are seeking to eat a healthy stuffed paratha. Both the lentils are a key ingredient to be a part in one’s diet as it contains good amount of nutrients like proteins, carbs and fiber. They are soaked and cooked together and then mixed with some Indian spice and stuffed into a whole wheat paratha. This paratha will fill you just like that without any other accompaniments except for a bowl of curd."
Bendekayi Koddel/Bolu Huli Recipe - Mangalorean Style Bhindi Sambar Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/BENDEKAYI_BOL_KODDEL__BENDEKAYI_BOLUHULI_1600.jpg,"mangalorean sidedish vegetarian  ladyfingerokra, splittoordal, haldi, adjust, raikadugu, jeera, hing  ","Bendekayi Koddel/Bolu Huli Recipe is a Mangalorean Style Bhindi Sambar Recipe that is made without coconut. Bolu Huli can be prepared from various vegetables like chayote, mangalorean cucumber, ridge gourd and more. To make bendekayi koddel, you should saute the bhindi until the sliminess is evaporated. This bolu huli has a typical coconut oil tempering with cumin seeds and hing. So what are you waiting for? Make this delicious Sambar for your next weekday lunch."
Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/July-25/Mudi_Chekke_Barthad_Recipe_Raw_Jackfruit_Seeds_and_Black_Chickpea_Sabzi-2_1600.jpg,"coorg lunch vegetarian  kathal, brownchickpeas, raikadugu, jeera, haldi, jeera, dhania, laung, dalchini  ",Kodava Mudi Chekke Barthad Recipe-Raw Jackfruit & Black Chickpea Stir Fry is a classic combination in kodagu district. The jackfruit seeds are widely in most of the South Indian cooking.
Udupi Style Ash Gourd Coconut Curry Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Udupi_Style_Ash_Gourd_Coconut_Curry_Recipe_.jpg,"udupi lunch vegetarian  ashgourdwhitepumpkin, haldi, fenugreekseeds, jeera, dhania, tilseeds, raikadugu  ","Udupi Style Ash Gourd Coconut Curry Recipe is a quick coconut based curry made from Ash gourd. Coconut being the main ingredient used in most of their cooking in Udupi, the curry has a strong flavor of coconut as well the roasted spices which gives out a wonderful flavor and aroma."
Konkani Style Kotte Saaru/Halasina Bijada Saru Recipe-Jackfruit Seed Rasam,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Konkani_Style_Kotte_SaaruHalasina_Bijada_Saru_Recipe_Jackfruit_Seed_Rasam.jpg,"konkan lunch vegetarian  kathal, haldi, haldi  ",Konkani Style Kotte Saaru or Halasina Bijada Saru Recipe is essentially Jackfruit Seed Rasam.
Kerala Style Taroo Root Curry Recipe (Colacasia),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Kerala_style_Taro_root_curry.jpg,"kerala lunch vegetarian  arbi, raikadugu, jeera  ","Kerala Style Taro Root Curry uses Arbi  which is widely used across India in various ways. This Kerala style Taro Root curry is made using fresh coconut and is classically served with steamed rice. Malabar tamarind is traditionally used as a souring agent, which also helps in destroying the allergens, if any, from the starchy tuber. Though it has a distinct smoky flavor, you can substitute the Malabar tamarind with dried Kokum skin or the regular tamarind. "
तुरई चना सब्ज़ी - Ridge Gourd With Black Gram Dal (Recipe In Hindi),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/_NenuaChana_Sabzi_Gravy__Ridge_Gourd_with_black_gram_dal_.jpg,indian lunch vegetarian  ,तुरई चना सब्ज़ी एक बहुत ही सरल सब्ज़ी है जिसे उत्तर प्रदेश में बहुत बनाया जाता है. यह सब्ज़ी आप रोज के खाने के लिए बना सकते है. इस रेसिपी को आप दिन के काने के लिए पंचमेल दाल और लच्छा पराठा के साथ गरमा गरम परोसे।  
Kerala Cherupayar Curry Recipe (Green Moong and Yellow Moong Dal Recipe),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Kerala_Cherupayar_Curry_Recipe_Green_Moong_and_Yellow_Moong_Dal_Recipe.jpg,"kerala lunch highproteinvegetarian  whole, split, sambaronions, raikadugu, haldi, jeera  ","Kerala Cherupayar Curry Recipe (Green Moong and Yellow Moong Dal Recipe) is a comforting dal made from a blend of green mung bean and yellow mung bean lentil. Cherupayar refers to the green moong lentil in Malayalam. The curry is made with simple flavors and the addition of coconut oil in the dal lifts the whole flavor of the dish. Mung Beans are a high source of fiber, protein and antioxidants. As it has the high nutrient intensity it will be really helpful for fighting diseases like diabetes and obesity."
Buckwheat Vegetable Khichdi Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Buckwheat_Vegetable_Khichdi.jpg,"indian lunch vegetarian  kuttukaatta, split, gajjar, frenchbeans, aloo, matar, caromseeds, laung, optional  ","Eating whole grain and ancient grains is helping me keep fit and healthy. There was a time when I kept away from the grains not knowing it’s benefits. But once I learnt about the benefits of whole grains I started including it in my diet. Initially, I have been experimenting with the grain by making dishes out of it and ate it all by my own. Now, I started giving it to my family and kids too. Buckwheat is actually not a grain; it’s a grain like fruit seeds, a super food. Buckwheat may be one of the super foods you are not eating. Not only is it healthy, but tasty too. And it’s a great substitution for rice! Make every day khichdi, pulav or even other variety rice dishes with buckwheat. This vegetable khichdi using buckwheat is the simplest dish just like any other khichdi and the taste is amazing too."
Eggplant In Mustard Poppy Seed Yogurt Gravy Recipe-Begun Doi Sorse Posto bata Jhol,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Antara_Navin/Eggplant_in_Mustard_Poppy_Seed_Yogurt_Gravy.jpg,"bengali dinner vegetarian  bainganeggplant, haldi, raikadugu, dahiyogurt  ","Begun Doi Sorse Posto bata Jhol or Eggplant in Mustard Poppy Seed Yogurt Gravy is a Bengali vegetarian dish. The eggplant is its main ingredient which is first marinated in chilli powder, turmeric powder and salt. It is then shallow fried till golden and then simmer in a gravy of  mustard-poppy seed paste and curd. Panch Phoran masala adds a signature Bengali flavor to the Eggplant gravy. "
Mangalorean Style Ambe Upkari Recipe - Ripe Mango Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Curryandvanilla/Ambe_Upkari.jpg,"mangalorean sidedish vegetarian  ripe, fibroussmallervarietysuitsbest, adjusttosweetnessofmangoes, adjusttotaste, split, raikadugu, hing  ","Mangalorean Style Ambe Upkari Recipe is a spicy, tangy - sweet curry made with ripe mangoes, along with some jaggery, and the addition of simple South Indian spices, and finished off with a classic tadka that instantly lifts up the dish. "
Peshawari Kala Chana Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Peshawari_Kala_Chana_Recipe.jpg,"pakistani lunch vegetarian  brownchickpeas, dalchini, badielaichi, dhania, pomegranateseedpowder, dhania  ","Peshawar, a popular city in Pakistan in known for its rich art and culture. It is also known for its delicious cuisine which is rich and has a prominent use of flavorful and tangy spices. Most of our Punjabi cuisine in India is influenced by the Peshawar style of cooking. Peshawari Kala Chana Recipe is simple to make, yet flavorful with nutritional benefits of sprouted black chickpeas or kala chana."
